DATE OCC,TIME OCC,Total Score,AREA NAME,LAT,LON
2025-01-01,0.0,250.0,Hollywood,34.0918,-118.3136
2025-01-01,0.0,235.0,Mission,34.2975,-118.4495
2025-01-01,0.0,255.0,Topanga,34.1634,-118.6315
2025-01-01,0.0,165.0,Wilshire,34.0735,-118.3828
2025-01-01,1.0,210.0,Hollywood,34.098,-118.3416
2025-01-01,1.0,120.0,Mission,34.239,-118.4502
2025-01-01,1.0,140.0,Wilshire,34.0842,-118.3765
2025-01-01,2.0,70.0,Topanga,34.201,-118.6147
2025-01-01,2.0,70.0,Wilshire,34.0622,-118.3429
2025-01-01,3.0,210.0,Hollywood,34.0863,-118.3064
2025-01-01,3.0,70.0,Mission,34.23,-118.4644
2025-01-01,3.0,70.0,Topanga,34.2176,-118.6017
2025-01-01,4.0,70.0,Hollywood,34.0926,-118.3289
2025-01-01,4.0,70.0,Topanga,34.1857,-118.5622
2025-01-01,5.0,160.0,Mission,34.2409,-118.4329
2025-01-01,5.0,90.0,Topanga,34.1792,-118.603
2025-01-01,6.0,70.0,Hollywood,34.0907,-118.3363
2025-01-01,6.0,70.0,Topanga,34.1848,-118.6077
2025-01-01,6.0,25.0,Wilshire,34.0591,-118.3762
2025-01-01,7.0,95.0,Mission,34.3172,-118.4755
2025-01-01,7.0,70.0,Wilshire,34.0651,-118.3634
2025-01-01,8.0,90.0,Mission,34.2667,-118.4647
2025-01-01,8.0,160.0,Southwest,34.0055,-118.3182
2025-01-01,8.0,120.0,Topanga,34.172,-118.6233
2025-01-01,9.0,25.0,Mission,34.3071,-118.4154
2025-01-01,9.0,190.0,Southwest,34.0146,-118.313
2025-01-01,9.0,25.0,Topanga,34.2001,-118.5775
2025-01-01,10.0,165.0,Hollywood,34.1017,-118.3224
2025-01-01,10.0,70.0,Mission,34.2378,-118.4552
2025-01-01,10.0,25.0,Topanga,34.229,-118.6084
2025-01-01,11.0,70.0,Hollywood,34.0971,-118.3735
2025-01-01,11.0,70.0,Mission,34.2333,-118.4331
2025-01-01,11.0,50.0,Southwest,34.0334,-118.2821
2025-01-01,11.0,25.0,Topanga,34.2029,-118.5928
2025-01-01,12.0,120.0,Hollywood,34.1079,-118.3337
2025-01-01,12.0,655.0,Mission,34.2249,-118.4344
2025-01-01,12.0,140.0,Southwest,34.0346,-118.3033
2025-01-01,12.0,245.0,Topanga,34.2234,-118.5932
2025-01-01,12.0,190.0,Wilshire,34.0735,-118.3571
2025-01-01,13.0,185.0,Hollywood,34.1074,-118.3786
2025-01-01,13.0,90.0,Mission,34.2181,-118.4664
2025-01-01,13.0,70.0,Southwest,34.0219,-118.2959
2025-01-01,13.0,70.0,Wilshire,34.0431,-118.3482
2025-01-01,14.0,25.0,Hollywood,34.0944,-118.3352
2025-01-01,14.0,140.0,Mission,34.247,-118.4254
2025-01-01,15.0,25.0,Hollywood,34.0998,-118.3295
2025-01-01,15.0,165.0,Mission,34.2273,-118.4207
2025-01-01,15.0,230.0,Southwest,34.0339,-118.3557
2025-01-01,16.0,70.0,Hollywood,34.1016,-118.3267
2025-01-01,16.0,160.0,Southwest,34.0077,-118.3454
2025-01-01,18.0,70.0,Hollywood,34.098,-118.3332
2025-01-01,18.0,275.0,Mission,34.2247,-118.4553
2025-01-01,18.0,95.0,Southwest,34.0199,-118.3608
2025-01-01,18.0,95.0,Topanga,34.1905,-118.6157
2025-01-01,19.0,25.0,Topanga,34.1937,-118.6081
2025-01-01,19.0,45.0,Wilshire,34.0855,-118.3627
2025-01-01,20.0,70.0,Hollywood,34.0889,-118.3299
2025-01-01,20.0,25.0,Southwest,34.0246,-118.3119
2025-01-01,20.0,25.0,Wilshire,34.0548,-118.3491
2025-01-01,21.0,45.0,Hollywood,34.1005,-118.3071
2025-01-01,21.0,45.0,Topanga,34.2232,-118.6013
2025-01-01,22.0,70.0,Mission,34.3216,-118.4569
2025-01-01,22.0,70.0,Southwest,34.0171,-118.3531
2025-01-01,22.0,70.0,Wilshire,34.0837,-118.3574
2025-01-01,23.0,95.0,Southwest,34.0055,-118.3154
2025-01-01,23.0,70.0,Wilshire,34.0495,-118.3179
2025-01-02,0.0,25.0,Hollywood,34.1017,-118.3224
2025-01-02,0.0,70.0,Mission,34.2319,-118.4654
2025-01-02,3.0,70.0,Hollywood,34.0908,-118.3266
2025-01-02,4.0,70.0,Southwest,34.0339,-118.2755
2025-01-02,5.0,70.0,Wilshire,34.0558,-118.3706
2025-01-02,6.0,90.0,Hollywood,34.1016,-118.3387
2025-01-02,6.0,70.0,Southwest,34.0133,-118.3486
2025-01-02,7.0,45.0,Southwest,34.0119,-118.3504
2025-01-02,8.0,70.0,Wilshire,34.0802,-118.3574
2025-01-02,9.0,25.0,Mission,34.2265,-118.4654
2025-01-02,10.0,140.0,Wilshire,34.069,-118.3462
2025-01-02,11.0,70.0,Hollywood,34.1006,-118.3417
2025-01-02,12.0,25.0,Hollywood,34.0999,-118.3594
2025-01-02,12.0,50.0,Mission,34.2301,-118.4633
2025-01-02,13.0,70.0,Mission,34.2573,-118.4674
2025-01-02,13.0,45.0,Southwest,34.0278,-118.3609
2025-01-02,13.0,70.0,Wilshire,34.0657,-118.3583
2025-01-02,14.0,70.0,Southwest,34.0168,-118.3491
2025-01-02,14.0,70.0,Wilshire,34.0671,-118.3583
2025-01-02,15.0,70.0,Hollywood,34.103,-118.3225
2025-01-02,16.0,70.0,Mission,34.2247,-118.4553
2025-01-02,18.0,70.0,Hollywood,34.0889,-118.3244
2025-01-02,18.0,70.0,Wilshire,34.0465,-118.3555
2025-01-02,19.0,70.0,Southwest,34.0055,-118.29
2025-01-02,20.0,135.0,Mission,34.3106,-118.4376
2025-01-02,20.0,45.0,Southwest,34.0279,-118.3561
2025-01-02,21.0,90.0,Southwest,34.0146,-118.3232
2025-01-02,22.0,90.0,Wilshire,34.0552,-118.3418
2025-01-02,23.0,45.0,Mission,34.2317,-118.4186
2025-01-02,23.0,70.0,Topanga,34.1705,-118.5792
2025-01-02,23.0,70.0,Wilshire,34.0853,-118.3511
2025-01-03,0.0,165.0,Southwest,34.008,-118.3266
2025-01-03,1.0,70.0,Mission,34.3007,-118.4747
2025-01-03,2.0,90.0,Hollywood,34.0926,-118.3234
2025-01-03,2.0,45.0,Mission,34.2922,-118.4549
2025-01-03,3.0,70.0,Hollywood,34.0938,-118.3153
2025-01-03,5.0,70.0,Mission,34.2337,-118.4703
2025-01-03,7.0,45.0,Hollywood,34.1018,-118.3035
2025-01-03,7.0,70.0,Mission,34.3275,-118.4247
2025-01-03,8.0,70.0,Mission,34.2391,-118.4502
2025-01-03,8.0,50.0,Southwest,34.0045,-118.3214
2025-01-03,9.0,70.0,Mission,34.3172,-118.4848
2025-01-03,10.0,25.0,Mission,34.2512,-118.4299
2025-01-03,10.0,45.0,Topanga,34.2259,-118.6126
2025-01-03,11.0,70.0,Wilshire,34.069,-118.3462
2025-01-03,12.0,70.0,Southwest,34.0297,-118.3236
2025-01-03,12.0,25.0,Topanga,34.1849,-118.6015
2025-01-03,12.0,70.0,Wilshire,34.0495,-118.3215
2025-01-03,13.0,70.0,Wilshire,34.0429,-118.3329
2025-01-03,14.0,70.0,Southwest,34.0344,-118.3212
2025-01-03,16.0,70.0,Hollywood,34.0908,-118.3046
2025-01-03,16.0,45.0,Mission,34.2573,-118.4696
2025-01-03,16.0,45.0,Topanga,34.2156,-118.6003
2025-01-03,17.0,70.0,Southwest,34.0256,-118.3351
2025-01-03,17.0,70.0,Topanga,34.1443,-118.5933
2025-01-03,18.0,70.0,Southwest,34.0305,-118.3677
2025-01-03,20.0,45.0,Southwest,34.0099,-118.3089
2025-01-03,20.0,45.0,Wilshire,34.073,-118.3509
2025-01-03,21.0,70.0,Southwest,34.0055,-118.2915
2025-01-03,21.0,70.0,Topanga,34.1561,-118.6318
2025-01-03,21.0,50.0,Wilshire,34.0485,-118.3334
2025-01-03,22.0,45.0,Topanga,34.1679,-118.5974
2025-01-03,23.0,70.0,Mission,34.2685,-118.4476
2025-01-03,23.0,70.0,Southwest,34.0073,-118.2948
2025-01-03,23.0,45.0,Topanga,34.1733,-118.5974
2025-01-03,23.0,25.0,Wilshire,34.0364,-118.3625
2025-01-04,0.0,70.0,Hollywood,34.0962,-118.3223
2025-01-04,0.0,140.0,Southwest,34.0075,-118.2819
2025-01-04,0.0,95.0,Wilshire,34.0708,-118.3563
2025-01-04,1.0,70.0,Hollywood,34.0958,-118.3109
2025-01-04,2.0,90.0,Wilshire,34.0853,-118.3428
2025-01-04,3.0,45.0,Mission,34.3023,-118.4769
2025-01-04,4.0,45.0,Southwest,34.0256,-118.3224
2025-01-04,6.0,45.0,Mission,34.2231,-118.4553
2025-01-04,7.0,45.0,Mission,34.3061,-118.4383
2025-01-04,10.0,140.0,Hollywood,34.0926,-118.3234
2025-01-04,10.0,140.0,Southwest,34.0326,-118.3416
2025-01-04,11.0,70.0,Hollywood,34.098,-118.3332
2025-01-04,11.0,160.0,Mission,34.306,-118.4413
