DATE OCC,TIME OCC,AREA NAME,Crm Cd 1,Crm Cd Desc
2020-01-01,1,Wilshire,354.0,ID THEFT
2020-01-01,1,Hollywood,121.0,SA
2020-01-01,1,Topanga,354.0,ID THEFT
2020-01-01,1,Hollywood,810.0,SA
2020-01-01,1,Mission,354.0,ID THEFT
2020-01-01,1,Wilshire,624.0,ASSAULT
2020-01-01,1,Topanga,860.0,SA
2020-01-01,5,Mission,626.0,ASSAULT
2020-01-01,10,Mission,236.0,ASSAULT
2020-01-01,10,Hollywood,626.0,ASSAULT
2020-01-01,30,Mission,626.0,ASSAULT
2020-01-01,40,Wilshire,626.0,ASSAULT
2020-01-01,45,Topanga,815.0,SA
2020-01-01,100,Mission,354.0,ID THEFT
2020-01-01,100,Mission,230.0,ASSAULT
2020-01-01,100,Wilshire,626.0,ASSAULT
2020-01-01,100,Hollywood,230.0,ASSAULT
2020-01-01,120,Hollywood,624.0,ASSAULT
2020-01-01,145,Wilshire,230.0,ASSAULT
2020-01-01,200,Topanga,626.0,ASSAULT
2020-01-01,200,Wilshire,236.0,ASSAULT
2020-01-01,300,Mission,624.0,ASSAULT
2020-01-01,330,Hollywood,230.0,ASSAULT
2020-01-01,330,Topanga,624.0,ASSAULT
2020-01-01,355,Hollywood,626.0,ASSAULT
2020-01-01,355,Hollywood,624.0,ASSAULT
2020-01-01,400,Topanga,230.0,ASSAULT
2020-01-01,450,Hollywood,624.0,ASSAULT
2020-01-01,500,Topanga,121.0,SA
2020-01-01,500,Mission,627.0,ASSAULT
2020-01-01,510,Mission,121.0,SA
2020-01-01,600,Wilshire,354.0,ID THEFT
2020-01-01,615,Hollywood,624.0,ASSAULT
2020-01-01,630,Topanga,236.0,ASSAULT
2020-01-01,700,Wilshire,626.0,ASSAULT
2020-01-01,700,Mission,627.0,ASSAULT
2020-01-01,700,Mission,354.0,ID THEFT
2020-01-01,800,Topanga,354.0,ID THEFT
2020-01-01,800,Southwest,121.0,SA
2020-01-01,800,Topanga,626.0,ASSAULT
2020-01-01,800,Mission,810.0,SA
2020-01-01,800,Southwest,510.0,VEHICLE
2020-01-01,800,Southwest,354.0,ID THEFT
2020-01-01,900,Southwest,354.0,ID THEFT
2020-01-01,900,Topanga,354.0,ID THEFT
2020-01-01,900,Mission,354.0,ID THEFT
2020-01-01,930,Southwest,624.0,ASSAULT
2020-01-01,1000,Mission,626.0,ASSAULT
2020-01-01,1000,Hollywood,510.0,VEHICLE
2020-01-01,1001,Hollywood,230.0,ASSAULT
2020-01-01,1010,Topanga,354.0,ID THEFT
2020-01-01,1035,Hollywood,354.0,ID THEFT
2020-01-01,1050,Hollywood,354.0,ID THEFT
2020-01-01,1100,Topanga,354.0,ID THEFT
2020-01-01,1100,Mission,510.0,VEHICLE
2020-01-01,1125,Hollywood,624.0,ASSAULT
2020-01-01,1145,Southwest,354.0,ID THEFT
2020-01-01,1155,Southwest,354.0,ID THEFT
2020-01-01,1159,Mission,354.0,ID THEFT
2020-01-01,1200,Mission,354.0,ID THEFT
2020-01-01,1200,Mission,627.0,ASSAULT
2020-01-01,1200,Southwest,354.0,ID THEFT
2020-01-01,1200,Wilshire,354.0,ID THEFT
2020-01-01,1200,Mission,235.0,ASSAULT
2020-01-01,1200,Mission,860.0,SA
2020-01-01,1200,Mission,122.0,SA
2020-01-01,1200,Mission,810.0,SA
2020-01-01,1200,Topanga,354.0,ID THEFT
2020-01-01,1200,Mission,626.0,ASSAULT
2020-01-01,1200,Southwest,121.0,SA
2020-01-01,1200,Wilshire,626.0,ASSAULT
2020-01-01,1210,Wilshire,236.0,ASSAULT
2020-01-01,1215,Hollywood,354.0,ID THEFT
2020-01-01,1230,Hollywood,354.0,ID THEFT
2020-01-01,1230,Hollywood,626.0,ASSAULT
2020-01-01,1250,Topanga,354.0,ID THEFT
2020-01-01,1250,Topanga,626.0,ASSAULT
2020-01-01,1300,Hollywood,810.0,SA
2020-01-01,1300,Southwest,626.0,ASSAULT
2020-01-01,1300,Hollywood,626.0,ASSAULT
2020-01-01,1330,Mission,860.0,SA
2020-01-01,1340,Hollywood,354.0,ID THEFT
2020-01-01,1340,Wilshire,624.0,ASSAULT
2020-01-01,1400,Mission,626.0,ASSAULT
2020-01-01,1405,Hollywood,354.0,ID THEFT
2020-01-01,1405,Mission,624.0,ASSAULT
2020-01-01,1500,Southwest,122.0,SA
2020-01-01,1500,Mission,624.0,ASSAULT
2020-01-01,1500,Hollywood,354.0,ID THEFT
2020-01-01,1500,Southwest,626.0,ASSAULT
2020-01-01,1510,Mission,354.0,ID THEFT
2020-01-01,1530,Southwest,624.0,ASSAULT
2020-01-01,1600,Southwest,810.0,SA
2020-01-01,1600,Southwest,626.0,ASSAULT
2020-01-01,1600,Hollywood,624.0,ASSAULT
2020-01-01,1800,Mission,510.0,VEHICLE
2020-01-01,1800,Topanga,354.0,ID THEFT
2020-01-01,1800,Mission,860.0,SA
2020-01-01,1810,Hollywood,624.0,ASSAULT
2020-01-01,1815,Mission,627.0,ASSAULT
2020-01-01,1825,Mission,624.0,ASSAULT
2020-01-01,1830,Topanga,624.0,ASSAULT
2020-01-01,1830,Southwest,626.0,ASSAULT
