DATE OCC,TIME OCC,AREA NAME,Total Score,LAT,LON
2020-01-01,0.0,Hollywood,70.0,34.0918,-118.3136
2020-01-01,0.0,Hollywood,180.0,34.095,-118.307
2020-01-01,0.0,Mission,140.0,34.2975,-118.4495
2020-01-01,0.0,Mission,70.0,34.2412,-118.4558
2020-01-01,0.0,Mission,25.0,34.2609,-118.465
2020-01-01,0.0,Topanga,90.0,34.1634,-118.6315
2020-01-01,0.0,Topanga,75.0,34.1618,-118.6302
2020-01-01,0.0,Topanga,90.0,34.2147,-118.5667
2020-01-01,0.0,Wilshire,70.0,34.0735,-118.3828
2020-01-01,0.0,Wilshire,25.0,34.0431,-118.3482
2020-01-01,0.0,Wilshire,70.0,34.044,-118.3264
2020-01-01,1.0,Hollywood,70.0,34.098,-118.3416
2020-01-01,1.0,Hollywood,140.0,34.0907,-118.331
2020-01-01,1.0,Mission,50.0,34.239,-118.4502
2020-01-01,1.0,Mission,70.0,34.2252,-118.4413
2020-01-01,1.0,Wilshire,70.0,34.0842,-118.3765
2020-01-01,1.0,Wilshire,70.0,34.0409,-118.3434
2020-01-01,2.0,Topanga,70.0,34.201,-118.6147
2020-01-01,2.0,Wilshire,70.0,34.0622,-118.3429
2020-01-01,3.0,Hollywood,140.0,34.0863,-118.3064
2020-01-01,3.0,Hollywood,70.0,34.1017,-118.3224
2020-01-01,3.0,Mission,70.0,34.23,-118.4644
2020-01-01,3.0,Topanga,70.0,34.2176,-118.6017
2020-01-01,4.0,Hollywood,70.0,34.0926,-118.3289
2020-01-01,4.0,Topanga,70.0,34.1857,-118.5622
2020-01-01,5.0,Mission,90.0,34.2409,-118.4329
2020-01-01,5.0,Mission,70.0,34.2176,-118.4688
2020-01-01,5.0,Topanga,90.0,34.1792,-118.603
2020-01-01,6.0,Hollywood,70.0,34.0907,-118.3363
2020-01-01,6.0,Topanga,70.0,34.1848,-118.6077
2020-01-01,6.0,Wilshire,25.0,34.0591,-118.3762
2020-01-01,7.0,Mission,25.0,34.3172,-118.4755
2020-01-01,7.0,Mission,70.0,34.2283,-118.4699
2020-01-01,7.0,Wilshire,70.0,34.0651,-118.3634
2020-01-01,8.0,Mission,90.0,34.2667,-118.4647
2020-01-01,8.0,Southwest,25.0,34.0055,-118.3182
2020-01-01,8.0,Southwest,90.0,34.0077,-118.3454
2020-01-01,8.0,Southwest,45.0,34.0,-118.3269
2020-01-01,8.0,Topanga,50.0,34.172,-118.6233
2020-01-01,8.0,Topanga,70.0,34.201,-118.6191
2020-01-01,9.0,Mission,25.0,34.3071,-118.4154
2020-01-01,9.0,Southwest,140.0,34.0146,-118.313
2020-01-01,9.0,Southwest,50.0,34.0183,-118.3536
2020-01-01,9.0,Topanga,25.0,34.2001,-118.5775
2020-01-01,10.0,Hollywood,50.0,34.1017,-118.3224
2020-01-01,10.0,Hollywood,70.0,34.1039,-118.331
2020-01-01,10.0,Hollywood,45.0,34.0993,-118.3159
2020-01-01,10.0,Mission,70.0,34.2378,-118.4552
2020-01-01,10.0,Topanga,25.0,34.229,-118.6084
2020-01-01,11.0,Hollywood,70.0,34.0971,-118.3735
2020-01-01,11.0,Mission,25.0,34.2333,-118.4331
2020-01-01,11.0,Mission,45.0,34.2319,-118.4633
2020-01-01,11.0,Southwest,50.0,34.0334,-118.2821
2020-01-01,11.0,Topanga,25.0,34.2029,-118.5928
2020-01-01,12.0,Hollywood,25.0,34.1079,-118.3337
2020-01-01,12.0,Hollywood,70.0,34.0981,-118.3092
2020-01-01,12.0,Hollywood,25.0,34.0998,-118.331
2020-01-01,12.0,Mission,175.0,34.2249,-118.4344
2020-01-01,12.0,Mission,270.0,34.2185,-118.4436
2020-01-01,12.0,Mission,210.0,34.3128,-118.4415
2020-01-01,12.0,Southwest,50.0,34.0346,-118.3033
2020-01-01,12.0,Southwest,90.0,34.0078,-118.2845
2020-01-01,12.0,Topanga,25.0,34.2234,-118.5932
2020-01-01,12.0,Topanga,70.0,34.2047,-118.5994
2020-01-01,12.0,Topanga,150.0,34.212,-118.5754
2020-01-01,12.0,Wilshire,70.0,34.0735,-118.3571
2020-01-01,12.0,Wilshire,50.0,34.044,-118.3586
2020-01-01,12.0,Wilshire,70.0,34.037,-118.3425
2020-01-01,13.0,Hollywood,25.0,34.1074,-118.3786
2020-01-01,13.0,Hollywood,90.0,34.1016,-118.3387
2020-01-01,13.0,Hollywood,70.0,34.1322,-118.3384
2020-01-01,13.0,Mission,90.0,34.2181,-118.4664
2020-01-01,13.0,Southwest,70.0,34.0219,-118.2959
2020-01-01,13.0,Wilshire,70.0,34.0431,-118.3482
2020-01-01,14.0,Hollywood,25.0,34.0944,-118.3352
2020-01-01,14.0,Mission,70.0,34.247,-118.4254
2020-01-01,14.0,Mission,70.0,34.23,-118.4575
2020-01-01,15.0,Hollywood,25.0,34.0998,-118.3295
2020-01-01,15.0,Mission,25.0,34.2273,-118.4207
2020-01-01,15.0,Mission,140.0,34.3022,-118.4492
2020-01-01,15.0,Southwest,70.0,34.0339,-118.3557
2020-01-01,15.0,Southwest,90.0,34.0141,-118.2915
2020-01-01,15.0,Southwest,70.0,34.0073,-118.298
2020-01-01,16.0,Hollywood,70.0,34.1016,-118.3267
2020-01-01,16.0,Southwest,90.0,34.0077,-118.3454
2020-01-01,16.0,Southwest,70.0,34.0108,-118.3182
2020-01-01,18.0,Hollywood,70.0,34.098,-118.3332
2020-01-01,18.0,Mission,140.0,34.2247,-118.4553
2020-01-01,18.0,Mission,90.0,34.3122,-118.4381
2020-01-01,18.0,Mission,45.0,34.2492,-118.4502
2020-01-01,18.0,Southwest,25.0,34.0199,-118.3608
2020-01-01,18.0,Southwest,70.0,34.0156,-118.311
2020-01-01,18.0,Topanga,70.0,34.1905,-118.6157
2020-01-01,18.0,Topanga,25.0,34.1745,-118.5762
2020-01-01,19.0,Topanga,25.0,34.1937,-118.6081
2020-01-01,19.0,Wilshire,45.0,34.0855,-118.3627
2020-01-01,20.0,Hollywood,70.0,34.0889,-118.3299
2020-01-01,20.0,Southwest,25.0,34.0246,-118.3119
2020-01-01,20.0,Wilshire,25.0,34.0548,-118.3491
2020-01-01,21.0,Hollywood,45.0,34.1005,-118.3071
2020-01-01,21.0,Topanga,45.0,34.2232,-118.6013
2020-01-01,22.0,Mission,70.0,34.3216,-118.4569
2020-01-01,22.0,Southwest,70.0,34.0171,-118.3531
2020-01-01,22.0,Wilshire,70.0,34.0837,-118.3574
2020-01-01,23.0,Southwest,25.0,34.0055,-118.3154
2020-01-01,23.0,Southwest,70.0,34.0099,-118.3089
2020-01-01,23.0,Wilshire,70.0,34.0495,-118.3179
2020-01-02,0.0,Hollywood,25.0,34.1017,-118.3224
2020-01-02,0.0,Mission,70.0,34.2319,-118.4654
2020-01-02,3.0,Hollywood,70.0,34.0908,-118.3266
2020-01-02,4.0,Southwest,70.0,34.0339,-118.2755
2020-01-02,5.0,Wilshire,70.0,34.0558,-118.3706
2020-01-02,6.0,Hollywood,90.0,34.1016,-118.3387
2020-01-02,6.0,Southwest,70.0,34.0133,-118.3486
2020-01-02,7.0,Southwest,45.0,34.0119,-118.3504
2020-01-02,8.0,Wilshire,70.0,34.0802,-118.3574
2020-01-02,9.0,Mission,25.0,34.2265,-118.4654
2020-01-02,10.0,Wilshire,140.0,34.069,-118.3462
2020-01-02,11.0,Hollywood,70.0,34.1006,-118.3417
2020-01-02,12.0,Hollywood,25.0,34.0999,-118.3594
2020-01-02,12.0,Mission,50.0,34.2301,-118.4633
2020-01-02,13.0,Mission,70.0,34.2573,-118.4674
2020-01-02,13.0,Southwest,45.0,34.0278,-118.3609
2020-01-02,13.0,Wilshire,70.0,34.0657,-118.3583
2020-01-02,14.0,Southwest,70.0,34.0168,-118.3491
2020-01-02,14.0,Wilshire,70.0,34.0671,-118.3583
2020-01-02,15.0,Hollywood,70.0,34.103,-118.3225
2020-01-02,16.0,Mission,70.0,34.2247,-118.4553
2020-01-02,18.0,Hollywood,70.0,34.0889,-118.3244
2020-01-02,18.0,Wilshire,70.0,34.0465,-118.3555
2020-01-02,19.0,Southwest,70.0,34.0055,-118.29
2020-01-02,20.0,Mission,45.0,34.3106,-118.4376
2020-01-02,20.0,Mission,90.0,34.3232,-118.4695
2020-01-02,20.0,Southwest,45.0,34.0279,-118.3561
2020-01-02,21.0,Southwest,90.0,34.0146,-118.3232
2020-01-02,22.0,Wilshire,90.0,34.0552,-118.3418
2020-01-02,23.0,Mission,45.0,34.2317,-118.4186
2020-01-02,23.0,Topanga,70.0,34.1705,-118.5792
